Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
-0.007,0.462,0.028,1.447,1.507,0.103,0.452,0.628,-0.455,0.18,-0.806,-0.692,-1.868,-0.966,-1.221,-1.283
-0.046,0.123,-0.379,0.605,1.396,-0.427,0.216,0.663,-0.301,0.246,-0.065,-0.224,-0.94,-0.223,-0.133,-0.421
0.098,0.379,-0.369,-0.228,-0.23,-0.407,-0.209,0.025,0.211,-0.185,-0.075,0.099,-0.829,-0.202,0.541,-0.411
0.303,0.942,0.733,1.544,1.465,0.714,0.565,0.532,-0.791,-0.741,-0.429,0.101,-1.818,-0.589,-1.027,-1.577
0.224,0.195,0.407,0.187,0.616,-0.287,0.043,0.72,-0.41,0.242,0.314,0.63,-0.462,0.215,0.349,-0.5
0.222,0.979,0.223,0.071,-0.618,0.524,-0.272,0.007,0.302,0.251,0.106,0.911,-0.068,0.611,1.453,-0.437
0.048,0.882,0.81,0.468,1.57,0.437,0.055,-0.135,-0.692,-0.437,0.466,0.108,-1.591,0.105,-0.611,-1.056
-0.016,-0.064,-0.109,-0.533,0.456,-0.239,-0.598,0.152,-0.822,0.114,0.702,0.068,-1.203,0.166,-0.118,-0.621
-0.376,-0.306,-0.451,-0.248,-0.111,0.153,-0.351,-0.86,-0.07,-0.096,0.315,0.858,-0.285,0.333,0.512,-0.27
-0.322,1.012,0.635,0.445,2.417,1.512,0.675,1.216,0.144,0.934,-0.117,-0.854,-1.169,-0.311,0.23,0.126
-0.923,0.699,-0.145,0.218,1.897,1.055,-0.12,1.193,0.171,0.716,0.147,-0.773,-1.788,-0.852,0.667,-0.24
-1.526,-0.599,-1.557,-0.688,0.413,-0.307,-1.928,-0.746,0.18,-0.206,-0.336,-1.19,-1.488,-1.443,-0.075,-0.695
0.565,0.085,0.614,-0.206,0.489,0.072,-0.075,0.495,1.285,1.239,0.971,0.485,0.356,0.649,0.41,0.737
0.662,1.733,2.265,1.835,1.781,2.489,1.666,2.193,0.135,0.768,0.237,0.437,-1.166,0.585,0.32,0.104
-0.472,0.569,0.617,0.908,1.613,1.431,0.133,1.53,0.375,0.186,0.289,0.132,-1.688,-0.294,0.518,-0.619
-1.203,-0.495,-0.826,0.003,0.73,-0.104,-1.605,-0.241,-0.108,-0.756,-0.571,-0.627,-1.818,-1.428,-0.328,-1.489
-0.749,-0.714,-1.08,0.045,-0.326,-0.286,-2.142,-1.189,-0.002,-0.778,0.597,-0.527,-0.191,-0.61,-0.759,-1.548
1.227,0.638,2.194,0.739,0.595,1.245,1.448,1.99,-0.043,0.231,0.673,0.153,-0.249,0.081,0.31,0.196
1.646,2.547,3.171,2.139,1.893,2.95,2.744,2.819,0.177,-0.396,0.036,0.99,-0.954,0.688,0.205,-0.665
0.368,0.78,1.781,1.13,1.89,1.896,0.834,2.052,0.526,-0.504,0.402,0.98,-0.864,0.279,0.671,-1.019
-0.295,-0.535,0.547,0.619,0.33,-0.281,-1.123,-0.171,-0.369,-0.774,-0.124,0.387,-1.029,-0.414,0.086,-1.576
-0.313,-0.829,-0.003,-0.267,0.192,-0.505,-2.079,-0.624,-0.043,-0.025,1.382,0.503,0.662,-0.153,0.053,-0.874
1.912,1.218,3.668,2.187,2.353,3.049,2.698,2.558,-0.71,-0.47,-0.741,-0.267,-1.353,-0.195,0.132,-0.594
1.386,2.839,3.286,1.093,2.773,2.217,2.681,1.701,-0.368,-1.135,0.012,0.3,-0.945,0.244,0.207,-1.428
0.566,0.586,1.614,-0.217,1.879,1.804,1.378,0.816,0.128,-0.505,-0.125,0.239,-0.685,0.28,0.303,-1.058
0.864,-1.21,0.349,0.071,0.032,-0.502,-0.748,-0.631,-0.431,-0.635,0.278,0.481,-0.65,-0.066,0.087,-1.093
-0.196,-1.987,-0.451,-1.713,-0.823,-2.391,-2.261,-1.15,-1.644,-0.622,1.152,-0.268,-0.165,-1.389,-0.807,-0.487
1.203,0.581,3.074,0.555,1.908,0.314,1.414,-0.884,-0.406,0.513,1.198,0.26,-0.8,0.621,0.878,-0.427
-0.292,-0.295,-0.609,-0.874,0.925,0.888,0.081,-0.33,0.001,-0.135,-0.893,-0.831,-1.469,0.133,-0.898,-0.502
0.717,-0.845,-0.473,-0.104,-0.258,0.469,-1.314,-0.125,-0.281,-0.648,0.25,0.219,-1.369,-0.669,-0.668,-0.865
-0.768,-0.074,-1.229,0.183,1.108,0.08,-0.302,0.221,0.274,0.694,0.215,0.167,-0.891,0.156,1.168,0.563
-0.365,0.022,-1.142,0.55,1.275,-0.025,-0.801,0.681,-0.333,0.294,-0.494,-0.513,-1.619,-1.024,0.747,-0.347
-0.778,-0.816,-1.054,-0.574,-0.331,-0.678,-1.244,-0.111,-0.304,-0.188,-0.782,-1.139,-1.498,-1.517,-0.215,-1.002
1.047,0.349,0.263,1.171,1.159,0.941,1.017,1.804,1.285,1.696,1.085,1.785,0.84,1.971,1.788,1.844
0.854,1.336,1.321,2.023,1.993,1.195,1.795,2.486,0.212,1.275,0.614,1.365,-0.705,1.304,1.353,1.081
0.927,0.573,0.02,1.232,1.896,0.518,0.873,1.557,0.037,-0.072,0.063,0.069,-1.96,-0.591,0.492,-0.843
-0.384,-0.576,-0.942,-0.594,0.287,-1.019,-0.806,0.02,-0.948,-0.866,-0.689,-1.087,-2.138,-1.98,-1.015,-1.932
-1.326,-0.928,-1.056,-1.197,-0.812,-0.921,-0.87,-0.791,-0.483,-0.371,0.746,-0.649,-0.786,-0.732,-0.997,-1.593
1.757,1.312,0.766,1.974,1.581,1.601,2.1,2.182,-0.595,0.381,0.232,1.009,0.144,0.446,0.861,0.9
1.591,2.347,2.734,2.67,1.89,2.008,2.858,3.417,0.53,0.56,0.498,1.311,-0.042,0.946,0.88,0.304
1.608,0.596,0.995,1.685,1.872,1.383,1.457,2.239,0.662,-0.982,0.21,0.776,-1.245,-0.065,-0.141,-1.356
-0.039,-1.304,-0.122,-0.821,0.359,-0.264,-0.033,0.106,-1.172,-1.383,-0.028,-0.222,-1.339,-1.068,-1.128,-1.952
-0.493,-1.15,0.016,-1.287,-0.35,-0.056,0.311,-0.322,-0.549,0.277,0.972,0.29,0.39,-0.403,-0.27,-1.028
1.301,0.557,-0.157,0.276,1.743,0.878,1.48,0.698,-1.281,-0.923,-0.65,-0.165,-0.595,-0.882,-0.22,0.073
0.226,0.298,0.196,0.507,0.61,0.691,0.043,0.86,0.199,-0.941,0.338,-0.033,0.449,-0.359,0.342,-0.975
0.503,-0.476,-0.261,1.007,0.785,0.638,-0.027,1.343,0.886,-0.938,-1.165,0.181,-0.166,-0.084,-0.564,-1.175
-0.122,-1.84,-0.565,-0.83,-0.75,0.4,-0.136,-0.019,-0.479,-1.297,-0.177,-0.066,-0.479,-0.499,-0.729,-0.951
-0.978,-1.815,-0.32,-2.309,-0.255,-0.133,-0.372,-0.158,-1.872,0.032,0.917,-0.314,-0.097,-1.33,-1.022,-0.359
