Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
-0.285,-1.09,-0.379,-0.707,0.243,-1.745,0.093,-0.435,0.606,0.089,0.499,1.877,1.084,0.85,-0.581,1.302
-0.658,-1.002,-0.21,-1.038,0.217,-1.021,0.593,-0.159,0.443,0.362,0.793,1.508,0.039,0.653,-0.904,1.116
-0.294,-1.36,0.834,0.616,-0.287,-0.405,-0.337,0.404,-0.084,-0.181,-0.118,1.247,-0.257,-0.681,-0.122,-0.145
-0.576,-0.291,0.1,-0.908,0.02,-0.185,0.068,-0.051,0.133,1.031,0.198,0.408,0.659,-0.029,0.468,0.844
-0.426,-0.003,0.136,-1.318,0.646,-0.101,0.154,-0.222,-0.74,0.2,-0.094,0.414,0.362,-0.67,1.066,1.487
0.306,-0.478,0.907,-0.731,0.686,0.005,-0.031,-0.136,-1.428,-0.101,-0.28,0.636,-0.179,-0.88,1.52,-0.134
-0.326,-0.393,-0.25,-1.648,-0.014,0.303,-0.521,-0.415,0.334,0.256,-0.278,-0.593,0.028,0.46,0.241,0.225
0.138,0.428,0.21,-1.632,0.863,0.757,-0.181,0.161,-1.18,0.425,-0.297,-0.675,0.105,-0.038,1.049,0.048
0.398,0.264,0.426,-0.402,1.006,0.324,0.677,0.508,-1.475,0.507,0.065,-0.319,-0.017,-0.596,1.818,0.365
-0.006,0.326,-0.558,0.688,0.211,0.355,-0.203,-1.523,0.419,-0.319,0.755,0.465,0.878,-0.092,0.404,0.507
-0.557,0.455,-1.159,0.206,0.121,-0.271,-0.71,0.419,0.066,-1.011,0.069,1.283,0.232,0.264,-0.194,-0.04
0.548,0.301,-0.236,1.753,1.294,1.221,0.125,0.798,0.472,-0.838,0.122,1.255,1.058,0.214,-0.707,0.435
-0.585,-1.195,0.629,0.018,-0.322,0.383,-0.271,-0.577,-1.181,0.54,-0.54,0.666,0.461,-0.74,-0.573,0.606
-1.005,-0.383,-0.485,-0.992,0.473,-0.639,0.63,-0.334,-0.266,-0.076,0.102,0.667,0.432,-0.047,-0.585,0.864
-0.874,-0.06,-0.394,-0.397,0.411,-0.731,0.133,-0.511,-0.022,-0.828,0.879,0.284,0.742,-0.513,-0.464,0.853
0.162,-0.666,0.664,1.058,0.476,0.818,-0.171,1.174,-0.187,0.198,0.831,0.928,0.742,-0.464,0.907,0.423
0.511,0.631,-0.073,1.091,-0.374,1.171,0.122,-0.156,-0.855,-1.581,-0.048,-0.85,-0.411,0.034,-1.169,-0.189
-0.312,0.451,-0.059,-0.097,-0.083,0.484,0.652,1.006,-0.446,1.037,0.294,0.972,0.338,0.659,0.058,-0.074
-0.566,-0.019,0.442,-0.958,0.361,0.464,0.578,0.778,0.527,0.542,-0.145,0.475,0.504,0.247,0.149,0.051
-0.1,-0.156,0.38,-0.971,0.966,0.205,0.016,0.307,-0.122,-0.368,0.123,0.023,0.573,-0.192,0.464,0.301
0.867,0.034,0.899,-0.689,0.171,1.167,1.155,0.592,-0.801,0.279,0.69,0.81,0.636,-0.037,1.376,-0.281
0.265,-0.343,-0.054,0.018,0.298,0.93,1.431,-0.21,-0.267,-1.446,0.142,-0.216,-0.638,-0.953,0.156,0.15
0.306,0.241,0.341,0.522,0.436,0.377,0.605,1.003,0.244,0.578,0.234,0.612,0.038,0.772,-0.294,0.103
0.221,-0.406,0.362,-0.618,0.444,1.058,0.154,0.647,0.623,0.597,-0.297,-0.016,-0.083,0.568,-0.254,0.057
0.349,-0.144,0.732,-1.363,1.235,1.458,0.154,0.437,-0.559,0.66,-0.109,-0.538,-0.08,0.506,0.124,-0.386
0.491,0.308,1.038,-0.366,0.842,1.273,1.222,-0.133,-0.238,0.591,0.274,-0.267,0.072,0.48,1.063,-0.366
-0.009,0.53,0.268,0.633,0.782,0.955,2.168,-0.582,1.017,-0.542,-0.28,-0.575,0.051,0.182,0.556,0.181
0.286,-0.422,0.19,0.395,0.959,0.286,-0.039,0.63,0.155,-0.156,0.002,-0.534,-0.022,-0.053,0.195,0.348
0.093,-0.144,0.415,-0.243,1.4,0.932,0.094,0.742,0.309,0.639,0.708,-0.656,0.15,0.379,0.042,0.427
-0.401,0.188,0.47,0.263,1.017,0.795,0.131,0.285,0.399,0.677,0.257,-0.637,0.236,0.419,0.098,0.706
-0.706,0.456,-0.982,0.459,-0.23,-0.691,-0.718,-0.38,0.578,-0.476,-0.038,0.111,0.257,-1.116,0.72,-0.394
-0.597,-0.062,0.421,0.684,-0.234,1.18,-2.316,-0.048,-0.361,-0.819,-0.49,0.872,-0.362,-1.082,-0.462,-0.558
-0.073,-0.553,0.177,1.417,1.954,1.733,-1.334,0.579,-0.044,-0.881,0.703,1.437,0.462,0.378,-0.125,0.773
-0.442,-0.859,-0.391,-0.706,-0.387,0.134,-2.042,-1.01,-1.104,-0.005,-0.2,0.641,0.98,-0.516,0.156,1.08
-0.144,-0.296,0.016,0.022,0.59,0.304,0.246,-1.25,-0.708,-0.313,-0.015,-0.017,0.349,-1.067,-0.09,0.588
-0.43,0.546,0.218,0.313,0.386,0.008,-0.281,-1.009,-0.208,-0.743,0.871,-0.244,0.896,-1.148,0.078,0.967
-1.572,-0.262,0.09,0.483,0.513,0.387,-0.465,0.572,0.501,0.604,1.24,0.647,1.121,0.593,1.442,0.849
0.151,0.841,-1.229,-1.461,-1.691,-1.019,-0.994,-0.718,-1.409,-1.067,0.137,-0.735,0.184,0.48,-0.28,-0.167
-0.043,-0.179,-0.359,0.364,-0.149,-0.045,-0.31,-0.644,-0.161,0.494,0.109,0.981,0.582,0.138,0.246,0.326
-0.043,-0.911,-0.124,-0.405,0.142,0.143,-0.328,-0.707,0.692,-0.29,-0.436,0.347,0.218,0.209,-0.285,-0.36
-0.183,0.01,-0.514,-0.413,-0.117,0.008,-0.586,-0.664,0.556,-0.464,0.053,0.14,0.176,0.247,-0.47,-0.393
-0.454,0.93,-0.316,-0.98,-0.943,0.894,0.727,0.207,0.279,0.463,0.756,1.114,0.811,0.85,0.715,-0.302
-0.238,1.084,-1.252,-1.731,-0.805,-0.051,0.875,-0.036,0.446,-1.18,0.393,0.256,0.118,0.107,0.319,0.4
-0.279,-0.216,0.704,0.218,0.367,0.918,0.241,0.149,0.287,0.507,0.323,0.989,0.265,0.463,0.015,-0.202
-0.402,-0.748,-0.869,0.208,0.035,0.291,-0.682,0.26,0.649,0.342,-0.2,0.535,-0.355,0.502,-0.757,-0.345
-0.43,-0.111,-0.612,0.531,0.391,0.623,-0.655,0.889,0.316,0.476,-0.157,-0.071,-0.717,0.892,-1.298,-1.21
1.063,1.82,0.558,0.419,0.448,1.81,1.178,0.81,1.047,0.236,-0.218,0.108,-0.225,1.526,-0.131,-1.308
0.607,1.866,-0.02,-0.326,0.361,1.345,1.284,0.28,1.575,-0.8,-0.727,-0.214,0.439,0.846,0.48,0.035
0.023,-0.319,-0.421,0.698,0.866,-0.071,-0.205,1.21,0.539,-0.178,0.659,0.065,-0.607,-0.547,0.462,0.535
0.311,0.273,0.285,0.942,0.661,0.923,0.259,1.891,1.513,0.617,1.293,-0.266,-0.524,0.507,0.029,0.1
1.417,1.253,1.509,1.134,0.593,1.842,0.962,1.227,1.53,-0.013,-0.282,-0.422,0.081,0.9,-0.67,-0.347
-1.324,0.346,1.296,0.115,-0.788,-0.124,-0.161,-0.068,0.157,-0.212,-0.801,0.847,0.012,-1.273,0.505,-0.965
-1.434,-0.21,-1.502,-0.442,-0.121,-0.01,-1.115,-1.015,-0.619,0.282,-0.49,0.739,-0.793,-0.064,-0.549,-0.648
-2.238,0.589,0.915,-1.162,2.081,-0.05,-0.972,0.101,0.104,-1.279,0.69,0.874,-0.099,1.226,0.227,0.754
-0.001,-0.91,-0.095,-0.634,0.018,-0.779,-1.065,-0.539,0.196,-1.161,0.227,0.846,1.274,0.395,-0.189,0.777
-0.494,-1.201,1.321,0.678,0.034,-0.629,-1.803,-1.108,-0.122,-0.782,0.265,0.543,0.931,-1.258,-0.207,0.452
-1.39,-0.427,-0.575,1.336,-0.952,-1.56,-2.014,-0.711,-0.269,0.18,0.712,0.419,0.452,-0.766,-0.293,1.231
-0.875,0.048,-0.056,0.124,-0.482,-1.087,-0.465,-0.823,0.645,-0.013,0.708,0.788,0.583,0.898,0.431,1.144
-0.379,-0.74,0.494,-0.066,-0.391,0.833,-0.675,-0.162,-1.519,0.261,0.871,-0.044,2.922,1.552,1.928,0.489
0.408,-0.516,-0.116,-0.483,-0.453,-1.021,-0.151,-1.098,-0.96,-0.719,0.229,-0.557,-0.161,-0.889,-0.524,-0.256
-0.098,-0.799,0.797,-0.109,-0.366,-0.835,0.037,-0.772,0.219,-0.905,-0.332,-0.361,0.2,0.069,-0.951,0.102
-1.202,-0.246,0.075,0.455,-1.224,-0.94,0.092,-0.295,0.521,-0.296,-0.766,0.138,-0.526,0.001,-1.51,0.458
-0.527,0.82,-0.14,0.413,-0.802,-0.326,0.526,-0.588,0.611,-0.101,-0.35,1.422,0.148,1.007,-0.492,0.118
0.25,0.303,1.265,0.687,-0.571,0.211,0.174,0.099,0.434,0.198,0.417,0.669,1.517,2.229,1.14,0.766
0.634,0.138,0.305,0.261,-0.787,0.593,-0.296,-0.553,-0.2,-1.129,-0.059,0.535,-0.017,-0.354,-0.205,-1.13
0.899,0.158,0.644,0.624,-0.016,0.645,0.39,-0.135,-0.201,-1.354,0.142,-0.017,-0.561,0.299,-1.327,-1.232
0.89,0.492,0.72,1.39,0.766,0.661,0.928,0.021,-0.106,-1.006,-0.501,-0.238,-1.33,0.621,-2.131,-1.84
0.845,1.385,0.96,1.752,0.447,0.697,1.177,-0.815,0.448,-0.228,-0.564,0.72,-0.957,1.886,-0.467,-1.075
1.057,1.149,1.287,1.335,-0.26,-0.231,1.051,-0.445,0.9,-0.122,-0.415,0.791,0.42,1.537,0.47,0.374
0.863,0.438,0.308,1.169,0.463,1.079,0.181,0.03,0.801,-0.636,0.699,0.779,-1.061,-0.876,0.691,-0.832
0.553,0.169,0.86,1.58,0.678,0.546,-0.154,0.032,1.741,-0.794,0.105,0.429,-0.891,-0.235,-0.124,-1.277
0.36,0.643,0.934,1.767,0.061,0.54,0.475,-0.487,1.428,-0.862,-0.691,0.451,-0.022,0.917,-0.469,-0.84
-0.366,-0.528,0.579,-0.179,-0.115,-1,-0.057,-0.473,-0.232,-0.674,0.326,-1.236,0.545,-0.395,-0.673,-0.087
